"분기","시군구명","행정동명","브랜드","점포수"
"2023Q1","강남구","개포2동","60계치킨","1"
"2023Q1","강남구","개포2동","BBQ","1"
"2023Q1","강남구","개포2동","가마치통닭대모산역점","1"
"2023Q1","강남구","개포2동","교촌치킨","1"
"2023Q1","강남구","개포2동","구구치킨","1"
"2023Q1","강남구","개포2동","깐부치킨","1"
"2023Q1","강남구","개포2동","꾸엇닭","1"
"2023Q1","강남구","개포2동","맛초화닭디에이치자이","1"
"2023Q1","강남구","개포2동","바른치킨","1"
"2023Q1","강남구","개포2동","쌀통닭개포역점","1"
"2023Q1","강남구","개포3동","소보루치킨","1"
"2023Q1","강남구","개포4동","BBQ","1"
"2023Q1","강남구","개포4동","BHC","1"
"2023Q1","강남구","개포4동","교촌치킨","1"
"2023Q1","강남구","개포4동","굽네치킨","1"
"2023Q1","강남구","개포4동","깐부치킨","2"
"2023Q1","강남구","개포4동","오븐데이","1"
"2023Q1","강남구","개포4동","치킨이맛있는집","1"
"2023Q1","강남구","개포4동","페리카나","1"
"2023Q1","강남구","개포4동","호식이두마리치킨","1"
"2023Q1","강남구","논현1동","60계치킨","1"
"2023Q1","강남구","논현1동","BHC","1"
"2023Q1","강남구","논현1동","교촌치킨","1"
"2023Q1","강남구","논현1동","굽네치킨","1"
"2023Q1","강남구","논현1동","깐부치킨","1"
"2023Q1","강남구","논현1동","꾸부라꼬숯불두마리치킨","1"
"2023Q1","강남구","논현1동","노랑통닭","1"
"2023Q1","강남구","논현1동","다인맛집","1"
"2023Q1","강남구","논현1동","달봉이치킨","1"
"2023Q1","강남구","논현1동","동해종합어시장","1"
"2023Q1","강남구","논현1동","또래오래","1"
"2023Q1","강남구","논현1동","막뚱이치킨","1"
"2023Q1","강남구","논현1동","매불닭발","1"
"2023Q1","강남구","논현1동","멕시칸치킨","1"
"2023Q1","강남구","논현1동","미트맨","1"
"2023Q1","강남구","논현1동","비건강남지점","1"
"2023Q1","강남구","논현1동","영동옛날통닭","1"
"2023Q1","강남구","논현1동","요리잘하는닭","1"
"2023Q1","강남구","논현1동","찌웅이네숯불두마리치킨","1"
"2023Q1","강남구","논현1동","차칸치킨&피자","1"
