"기준_년분기_코드","자치구명","행정동_코드","행정동_코드_명","총_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","연령대_10_유동인구_비율","연령대_20_유동인구_비율","연령대_30_유동인구_비율","연령대_40_유동인구_비율","연령대_50_유동인구_비율","연령대_60_이상_유동인구_비율"
"2025Q4","강동구","11740700","둔촌2동","6419131","1227181","725811","959328","1018460","933755","1554597","19.1176","11.307","14.9448","15.866","14.5464","24.2182"
"2025Q4","강동구","11740690","둔촌1동","29398","6767","2325","4159","5594","3731","6824","23.0186","7.9087","14.1472","19.0285","12.6913","23.2125"
"2025Q4","강동구","11740685","길동","18073434","2453568","2170829","2912958","2965881","2847212","4722988","13.5755","12.0112","16.1173","16.4102","15.7536","26.1322"
"2025Q4","강동구","11740660","성내3동","6724834","949374","868523","1106224","1173101","1035931","1591682","14.1174","12.9152","16.4498","17.4443","15.4046","23.6687"
"2025Q4","강동구","11740650","성내2동","8151201","1125335","1085573","1470237","1283687","1175091","2011277","13.8058","13.318","18.0371","15.7484","14.4162","24.6746"
"2025Q4","강동구","11740640","성내1동","5545995","994391","611584","855915","944137","868997","1270971","17.9299","11.0275","15.433","17.0238","15.6689","22.9169"
"2025Q4","강동구","11740620","천호3동","7473454","919586","1130735","1409241","1150274","1089443","1774174","12.3047","15.13","18.8566","15.3915","14.5775","23.7397"
"2025Q4","강동구","11740610","천호2동","10996301","1380439","1357854","1922051","1804050","1740536","2791372","12.5537","12.3483","17.4791","16.406","15.8284","25.3846"
"2025Q4","강동구","11740600","천호1동","10130717","1687576","1082291","1492087","1702581","1565714","2600466","16.658","10.6833","14.7283","16.8061","15.4551","25.6691"
"2025Q4","강동구","11740590","암사3동","1711324","411870","162319","230028","287657","245405","374045","24.0673","9.485","13.4415","16.809","14.3401","21.8571"
"2025Q4","강동구","11740580","암사2동","2217375","317259","257399","392158","387332","357288","505940","14.3079","11.6083","17.6857","17.468","16.1131","22.8171"
"2025Q4","강동구","11740570","암사1동","8439282","1369146","907537","1257121","1436917","1361856","2106706","16.2235","10.7537","14.8961","17.0265","16.1371","24.9631"
"2025Q4","강동구","11740560","고덕2동","2181579","508412","190214","317037","426971","269620","469324","23.3048","8.7191","14.5325","19.5716","12.3589","21.513"
"2025Q4","강동구","11740550","고덕1동","3486664","1254947","238782","324902","657249","398979","611805","35.9928","6.8484","9.3184","18.8504","11.443","17.547"
"2025Q4","강동구","11740540","명일2동","2082565","630850","191282","195015","341196","269266","454956","30.292","9.1849","9.3642","16.3835","12.9295","21.8459"
"2025Q4","강동구","11740530","명일1동","4587453","896175","424606","574736","796193","667876","1227869","19.5354","9.2558","12.5284","17.3559","14.5588","26.7658"
"2025Q4","강동구","11740520","상일동","3418270","755944","285311","472428","709094","463631","731862","22.1148","8.3466","13.8207","20.7442","13.5633","21.4103"
"2025Q4","강동구","11740515","강일동","3477111","838069","298090","443277","640155","490489","767030","24.1025","8.5729","12.7484","18.4105","14.1062","22.0594"
"2025Q4","강남구","11680750","수서동","2221559","309456","213059","338896","376693","323485","659972","13.9297","9.5905","15.2549","16.9562","14.5612","29.7076"
"2025Q4","강남구","11680740","일원2동","1332880","366129","109551","182591","271468","179159","223983","27.469","8.2191","13.699","20.367","13.4415","16.8044"
"2025Q4","강남구","11680730","일원1동","2550279","352919","319849","421900","464206","374791","616614","13.8384","12.5417","16.5433","18.2022","14.6961","24.1783"
"2025Q4","강남구","11680720","일원본동","2494432","711007","187069","259984","454224","343490","538658","28.5038","7.4995","10.4226","18.2095","13.7703","21.5944"
"2025Q4","강남구","11680700","세곡동","3415133","871511","317800","492484","597832","425507","709998","25.5191","9.3056","14.4206","17.5054","12.4595","20.7898"
"2025Q4","강남구","11680690","개포4동","3295325","565525","350069","526892","603706","571343","677789","17.1614","10.6232","15.9891","18.3201","17.338","20.5682"
"2025Q4","강남구","11680670","개포2동","2151296","568721","174508","261087","395583","295896","455500","26.4362","8.1118","12.1363","18.3881","13.7543","21.1733"
