"기준_년분기_코드","자치구명","행정동_코드","행정동_코드_명","총_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","연령대_10_직장인구_비율","연령대_20_직장인구_비율","연령대_30_직장인구_비율","연령대_40_직장인구_비율","연령대_50_직장인구_비율","연령대_60_이상_직장인구_비율"
"2025Q4","강동구","11740700","둔촌2동","2489","0","472","661","548","519","289","0","18.9634","26.5569","22.0169","20.8517","11.6111"
"2025Q4","강동구","11740685","길동","9734","0","1332","1956","2232","2405","1809","0","13.684","20.0945","22.9299","24.7072","18.5843"
"2025Q4","강동구","11740660","성내3동","3676","0","497","837","936","773","633","0","13.5201","22.7693","25.4625","21.0283","17.2198"
"2025Q4","강동구","11740650","성내2동","1852","0","290","394","449","365","354","0","15.6587","21.2743","24.2441","19.7084","19.1145"
"2025Q4","강동구","11740640","성내1동","13187","0","1560","2758","2855","3402","2612","0","11.8298","20.9145","21.6501","25.7981","19.8074"
"2025Q4","강동구","11740620","천호3동","1173","0","34","113","188","202","636","0","2.8986","9.6334","16.0273","17.2208","54.2199"
"2025Q4","강동구","11740610","천호2동","2893","0","265","627","774","728","499","0","9.16","21.673","26.7542","25.1642","17.2485"
"2025Q4","강동구","11740600","천호1동","1673","0","112","302","431","416","412","0","6.6946","18.0514","25.7621","24.8655","24.6264"
"2025Q4","강동구","11740580","암사2동","1552","0","159","258","369","460","306","0","10.2448","16.6237","23.7758","29.6392","19.7165"
"2025Q4","강동구","11740570","암사1동","3050","0","381","663","645","607","754","0","12.4918","21.7377","21.1475","19.9016","24.7213"
"2025Q4","강동구","11740560","고덕2동","1176","0","57","144","265","416","294","0","4.8469","12.2449","22.534","35.3741","25"
"2025Q4","강동구","11740550","고덕1동","845","0","96","186","218","201","144","0","11.3609","22.0118","25.7988","23.787","17.0414"
"2025Q4","강동구","11740540","명일2동","2834","0","340","806","757","597","334","0","11.9972","28.4404","26.7114","21.0656","11.7855"
"2025Q4","강동구","11740530","명일1동","3986","0","588","1079","1016","710","593","0","14.7516","27.0697","25.4892","17.8123","14.8771"
"2025Q4","강동구","11740520","상일동","1291","0","193","290","316","338","154","0","14.9497","22.4632","24.4771","26.1813","11.9287"
"2025Q4","강동구","11740515","강일동","143","0","18","32","41","36","16","0","12.5874","22.3776","28.6713","25.1748","11.1888"
