기준_년분기_코드,구명,행정동_코드_명,서비스_업종_코드_명,당월_매출_금액,주중_매출_금액,주말_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,당월_매출_건수,주중_매출_건수,주말_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20231,강북구,삼양동,치킨전문점,44713270,32200995,12512275,164095,6330508,6216674,11089138,11779281,8035107,2310,1701,609,1501,767,18,387,342,617,518,387
20231,강북구,미아동,치킨전문점,136804003,91998254,44805749,549431,22727610,24085423,28544571,40779757,18495039,6235,4298,1937,4121,2084,37,998,1132,1280,1776,982
20231,강북구,송중동,치킨전문점,307154746,213430991,93723755,5609390,69255544,55099512,60385290,72492211,35434052,10747,7420,3327,6484,4171,122,2262,1885,2186,2773,1427
20231,강북구,송천동,치킨전문점,442368925,310834958,131533967,1821264,20833091,64378444,109925692,136061167,102267746,17160,12105,5055,9837,7226,99,1015,2228,4443,5168,4109
20231,강북구,삼각산동,치킨전문점,173666818,113312814,60354004,1629227,16332071,25073105,60650636,41524415,16987930,6966,4568,2398,3877,2818,86,650,1051,2163,1851,891
20231,강북구,번1동,치킨전문점,307306989,206058770,101248219,867677,45797252,56830495,73873404,76972860,50696882,12603,8320,4283,7350,5201,46,2163,2279,2759,3153,2151
20231,강북구,번2동,치킨전문점,29600615,21364851,8235764,326330,3083822,4544151,7230666,8268397,5294710,1306,939,367,784,506,16,155,220,310,343,245
20231,강북구,번3동,치킨전문점,166465428,123075396,43390032,1615226,14629185,19720110,57035614,37819118,27528131,8199,6131,2068,4407,3700,151,750,1148,2665,1889,1503
20231,강북구,수유1동,치킨전문점,29709515,17750710,11958805,0,1576934,6788036,5216770,7831339,8296436,1606,1002,604,1144,462,0,95,319,279,509,404
20231,강북구,수유2동,치킨전문점,325623154,229458607,96164547,2803532,32974747,66487679,80186167,77523038,50540260,19972,14246,5726,11327,8323,218,2470,4703,4822,4452,2988
20231,강북구,수유3동,치킨전문점,410752274,285874037,124878237,843706,62474621,85286209,97930342,107519673,50977181,14110,9701,4409,9421,4561,61,2205,3126,3165,3654,1774
20231,강북구,우이동,치킨전문점,194740627,124313247,70427380,161928,15692059,25926097,42915028,58194133,35681180,6798,4293,2505,4370,2333,13,679,1104,1585,1985,1336
20231,강북구,인수동,치킨전문점,5220844,2972511,2248333,16841,429457,718568,741023,2197806,780320,258,141,117,152,95,6,23,40,34,101,45
20231,강서구,염창동,치킨전문점,228028311,174468867,53559444,1626915,22247203,30283099,70858195,47618983,28602592,8827,6305,2522,5152,3138,78,735,1398,2925,2013,1142
20231,강서구,등촌1동,치킨전문점,383073706,302058491,81015215,1284480,37103738,84374063,80434201,77560515,37487592,11068,8507,2561,5935,4008,65,1176,2619,2464,2380,1242
20231,강서구,등촌2동,치킨전문점,175822450,120962297,54860153,3679650,20757184,28277529,43953747,52971064,25261371,8983,6335,2648,5252,3716,124,1245,1544,2272,2498,1286
20231,강서구,등촌3동,치킨전문점,1335540890,1000630378,334910512,9546718,176337827,309248423,222110860,253500900,173585182,40472,29684,10788,23900,14222,380,5816,9634,7745,8269,6279
20231,강서구,화곡1동,치킨전문점,482509930,331005172,151504758,956656,62082652,154828669,112909060,100424132,41055925,15505,10774,4731,9912,5416,77,2456,4899,3610,2819,1459
20231,강서구,화곡2동,치킨전문점,23712443,12536434,11176009,0,3987564,5557785,5481523,6346398,2339173,1496,823,673,917,579,0,290,527,289,271,119
20231,강서구,화곡3동,치킨전문점,533163626,344352186,188811440,5701424,112441382,116697316,112517961,120752764,58367247,18946,12023,6923,11279,7497,264,3618,4030,4116,4458,2289
20231,강서구,화곡4동,치킨전문점,297516143,199965445,97550698,1224146,24698655,60529042,80999499,69588647,53657430,15551,10499,5052,9557,5750,22,1457,3591,4057,3544,2636
20231,강서구,화곡본동,치킨전문점,221306878,154629419,66677459,1456678,18583575,46563647,47220872,69180410,34176905,15251,11016,4235,8313,6812,106,1570,3938,3392,3648,2471
20231,강서구,화곡6동,치킨전문점,447662103,306938497,140723606,1723157,44187291,91665252,130016890,87627151,49622722,13754,9201,4553,8136,4734,104,1561,3018,3588,2903,1704
20231,강서구,화곡8동,치킨전문점,136860911,91018812,45842099,36664,13140632,31288164,40793091,28719939,19350333,6330,4080,2250,3515,2665,10,911,1535,1675,1252,797
